Pendolo inverso attivazione
(dt=10, OCR2A=156, Prescaler=1024)
PWM	mStep	mVel	mAcc
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
255	0	0	0
255	6	6	6
255	33	27	21
255	74	41	14
255	126	52	11
255	190	64	12
255	263	73	9
255	342	79	6
255	426	84	5
255	513	87	3
255	602	89	2
255	693	91	2
255	785	92	1
255	878	93	1
255	971	93	0
255	1063	92	-1
255	1155	92	0
255	1248	93	1
255	1342	94	1
255	1435	93	-1
255	1528	93	0
255	1622	94	1
255	1715	93	-1
255	1808	93	0
255	1901	93	0
255	1994	93	0
255	2089	95	2
255	2181	92	-3
255	2275	94	2
255	2369	94	0
255	2462	93	-1
255	2555	93	0
255	2648	93	0
255	2741	93	0
255	2834	93	0
255	2927	93	0
255	3020	93	0
255	3113	93	0
255	3206	93	0
255	3299	93	0
255	3392	93	0
255	3485	93	0
255	3578	93	0
255	3671	93	0
255	3765	94	1
255	3859	94	0
255	3953	94	0
255	4046	93	-1
255	4141	95	2
255	4234	93	-2
255	4327	93	0
255	4421	94	1
255	4514	93	-1
255	4607	93	0
255	4700	93	0
255	4794	94	1
255	4887	93	-1
255	4980	93	0
255	5073	93	0
255	5167	94	1
255	5260	93	-1
255	5353	93	0
255	5447	94	1
255	5540	93	-1
255	5634	94	1
255	5729	95	1
255	5822	93	-2
255	5915	93	0
255	6009	94	1
255	6102	93	-1
255	6196	94	1
255	6291	95	1
255	6384	93	-2
255	6478	94	1
255	6571	93	-1
255	6665	94	1
255	6758	93	-1
255	6852	94	1
255	6947	95	1
255	7040	93	-2
255	7134	94	1
255	7227	93	-1
255	7321	94	1
255	7414	93	-1
255	7508	94	1
255	7601	93	-1
255	7695	94	1
255	7788	93	-1
255	7882	94	1
255	7975	93	-1
255	8069	94	1
255	8164	95	1
255	8258	94	-1
255	8353	95	1
255	8447	94	-1
255	8542	95	1
255	8635	93	-2
255	8727	92	-1
255	8821	94	2
255	8914	93	-1
255	9008	94	1
255	9101	93	-1
255	9195	94	1
255	9288	93	-1
255	9382	94	1
255	9475	93	-1
255	9569	94	1
255	9664	95	1
255	9758	94	-1
255	9853	95	1
255	9946	93	-2
255	10040	94	1
255	10133	93	-1
255	10225	92	-1
255	10318	93	1
