Pendolo inverso attivazione
dt	OCR2A	Prescaler
10	156	1024
PWM	mStep	mVel	mAcc
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
255	0	0	0
255	5	5	5
255	25	20	15
255	54	29	9
255	90	36	7
255	133	43	7
255	179	46	3
255	228	49	3
255	277	49	0
255	328	51	2
255	379	51	0
255	432	53	2
255	485	53	0
255	538	53	0
255	591	53	0
255	645	54	1
255	698	53	-1
255	752	54	1
255	805	53	-1
255	859	54	1
255	913	54	0
255	967	54	0
255	1021	54	0
255	1075	54	0
255	1129	54	0
255	1183	54	0
255	1237	54	0
255	1291	54	0
255	1345	54	0
255	1399	54	0
255	1454	55	1
255	1508	54	-1
255	1562	54	0
255	1616	54	0
255	1670	54	0
255	1724	54	0
255	1778	54	0
255	1832	54	0
255	1886	54	0
255	1941	55	1
255	1995	54	-1
255	2049	54	0
255	2103	54	0
255	2157	54	0
255	2211	54	0
255	2266	55	1
255	2320	54	-1
255	2374	54	0
255	2428	54	0
255	2482	54	0
255	2536	54	0
255	2591	55	1
255	2645	54	-1
255	2699	54	0
255	2753	54	0
255	2807	54	0
255	2862	55	1
255	2916	54	-1
255	2970	54	0
255	3024	54	0
255	3078	54	0
255	3133	55	1
255	3187	54	-1
255	3242	55	1
255	3296	54	-1
255	3350	54	0
255	3404	54	0
255	3459	55	1
255	3513	54	-1
255	3567	54	0
255	3621	54	0
255	3675	54	0
255	3730	55	1
255	3784	54	-1
255	3838	54	0
255	3893	55	1
255	3947	54	-1
255	4002	55	1
255	4056	54	-1
255	4110	54	0
255	4164	54	0
255	4219	55	1
255	4273	54	-1
255	4327	54	0
255	4381	54	0
255	4436	55	1
255	4490	54	-1
255	4545	55	1
255	4599	54	-1
255	4653	54	0
255	4708	55	1
255	4762	54	-1
255	4816	54	0
255	4870	54	0
255	4925	55	1
255	4979	54	-1
255	5033	54	0
255	5088	55	1
255	5142	54	-1
255	5197	55	1
255	5251	54	-1
255	5305	54	0
255	5359	54	0
255	5414	55	1
255	5468	54	-1
255	5522	54	0
255	5577	55	1
255	5631	54	-1
255	5686	55	1
255	5740	54	-1
255	5795	55	1
255	5849	54	-1
255	5903	54	0
255	5958	55	1
255	6012	54	-1
255	6066	54	0
255	6121	55	1
255	6175	54	-1
255	6230	55	1
255	6284	54	-1
255	6338	54	0
255	6393	55	1
255	6447	54	-1
255	6502	55	1
255	6556	54	-1
255	6610	54	0
255	6665	55	1
255	6719	54	-1
255	6774	55	1
255	6828	54	-1
255	6882	54	0
255	6937	55	1
255	6991	54	-1
255	7046	55	1
255	7101	55	0
255	7155	54	-1
255	7209	54	0
255	7263	54	0
255	7318	55	1
255	7373	55	0
255	7427	54	-1
255	7482	55	1
255	7536	54	-1
255	7591	55	1
255	7645	54	-1
255	7699	54	0
255	7754	55	1
255	7808	54	-1
255	7862	54	0
255	7917	55	1
255	7971	54	-1
255	8026	55	1
255	8080	54	-1
255	8135	55	1
255	8189	54	-1
255	8243	54	0
255	8298	55	1
255	8353	55	0
255	8407	54	-1
255	8461	54	0
255	8515	54	0
255	8570	55	1
255	8624	54	-1
255	8678	54	0
255	8733	55	1
255	8787	54	-1
255	8842	55	1
255	8896	54	-1
255	8950	54	0
255	9004	54	0
255	9058	54	0
255	9113	55	1
255	9167	54	-1
255	9221	54	0
255	9275	54	0
255	9330	55	1
255	9384	54	-1
255	9438	54	0
255	9492	54	0
255	9546	54	0
255	9601	55	1
255	9655	54	-1
255	9709	54	0
255	9763	54	0
255	9818	55	1
255	9872	54	-1
255	9926	54	0
255	9980	54	0
255	10035	55	1
255	10089	54	-1
255	10143	54	0
255	10197	54	0
255	10252	55	1
255	10306	54	-1
255	10360	54	0
255	10414	54	0
255	10469	55	1
255	10523	54	-1
255	10577	54	0
255	10631	54	0
255	10686	55	1
255	10740	54	-1
255	10794	54	0
255	10848	54	0
255	10903	55	1
255	10957	54	-1
255	11011	54	0
0	11066	55	1
0	11119	53	-2
0	11170	51	-2
0	11219	49	-2
0	11265	46	-3
0	11309	44	-2
0	11353	44	0
0	11394	41	-3
0	11432	38	-3
0	11469	37	-1
0	11504	35	-2
0	11537	33	-2
0	11568	31	-2
0	11596	28	-3
0	11623	27	-1
0	11648	25	-2
0	11671	23	-2
0	11692	21	-2
0	11713	21	0
0	11732	19	-2
0	11750	18	-1
0	11765	15	-3
0	11779	14	-1
0	11791	12	-2
0	11801	10	-2
0	11810	9	-1
0	11817	7	-2
0	11823	6	-1
0	11827	4	-2
0	11829	2	-2
0	11831	2	0
0	11831	0	-2
0	11831	0	0
0	11831	0	0
0	11831	0	0
0	11831	0	0
0	11831	0	0
0	11831	0	0
0	11831	0	0
0	11831	0	0
0	11831	0	0
0	11831	0	0
0	11831	0	0
0	11831	0	0
0	11831	0	0
0	11831	0	0
0	11831	0	0
0	11831	0	0
