Pendolo inverso attivazione
dt	OCR2A	Prescaler
10	156	1024
PWM	mStep	mVel	mAcc
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
255	0	0	0
255	6	6	6
255	23	17	11
255	49	26	9
255	83	34	8
255	123	40	6
255	167	44	4
255	213	46	2
255	263	50	4
255	314	51	1
255	365	51	0
255	417	52	1
255	470	53	1
255	524	54	1
255	578	54	0
255	632	54	0
255	686	54	0
255	741	55	1
255	796	55	0
255	851	55	0
255	906	55	0
255	961	55	0
255	1016	55	0
255	1071	55	0
255	1126	55	0
255	1181	55	0
255	1237	56	1
255	1292	55	-1
255	1347	55	0
255	1402	55	0
255	1458	56	1
255	1513	55	-1
255	1568	55	0
255	1623	55	0
255	1678	55	0
255	1733	55	0
255	1789	56	1
255	1844	55	-1
255	1899	55	0
255	1954	55	0
255	2010	56	1
255	2065	55	-1
255	2120	55	0
255	2175	55	0
255	2231	56	1
255	2286	55	-1
255	2341	55	0
255	2397	56	1
255	2452	55	-1
255	2507	55	0
255	2562	55	0
255	2618	56	1
255	2673	55	-1
255	2728	55	0
255	2783	55	0
255	2839	56	1
255	2894	55	-1
255	2949	55	0
255	3004	55	0
255	3060	56	1
255	3115	55	-1
255	3170	55	0
255	3226	56	1
255	3281	55	-1
255	3336	55	0
255	3391	55	0
255	3447	56	1
255	3502	55	-1
255	3558	56	1
255	3613	55	-1
255	3668	55	0
255	3723	55	0
255	3779	56	1
255	3834	55	-1
255	3889	55	0
255	3944	55	0
255	3999	55	0
255	4055	56	1
255	4110	55	-1
255	4165	55	0
255	4221	56	1
255	4276	55	-1
255	4331	55	0
255	4386	55	0
255	4442	56	1
255	4497	55	-1
255	4552	55	0
255	4607	55	0
255	4662	55	0
255	4718	56	1
255	4773	55	-1
255	4829	56	1
255	4884	55	-1
255	4939	55	0
255	4994	55	0
255	5050	56	1
255	5105	55	-1
255	5160	55	0
255	5215	55	0
255	5271	56	1
255	5326	55	-1
255	5381	55	0
255	5436	55	0
255	5492	56	1
255	5547	55	-1
255	5602	55	0
255	5658	56	1
255	5713	55	-1
255	5768	55	0
255	5823	55	0
255	5879	56	1
255	5934	55	-1
255	5989	55	0
255	6045	56	1
255	6100	55	-1
255	6155	55	0
255	6210	55	0
255	6266	56	1
255	6321	55	-1
255	6376	55	0
255	6431	55	0
255	6487	56	1
255	6542	55	-1
255	6598	56	1
255	6653	55	-1
255	6708	55	0
255	6764	56	1
255	6819	55	-1
255	6874	55	0
255	6929	55	0
255	6985	56	1
255	7040	55	-1
255	7095	55	0
255	7151	56	1
255	7206	55	-1
0	7262	56	1
0	7318	56	0
0	7373	55	-1
0	7425	52	-3
0	7474	49	-3
0	7522	48	-1
0	7570	48	0
0	7616	46	-2
0	7660	44	-2
0	7702	42	-2
0	7743	41	-1
0	7781	38	-3
0	7820	39	1
0	7856	36	-3
0	7890	34	-2
0	7923	33	-1
0	7956	33	0
0	7987	31	-2
0	8015	28	-3
0	8043	28	0
0	8068	25	-3
0	8093	25	0
0	8115	22	-3
0	8137	22	0
0	8158	21	-1
0	8178	20	-1
0	8195	17	-3
0	8212	17	0
0	8227	15	-2
0	8240	13	-2
0	8253	13	0
0	8263	10	-3
0	8273	10	0
0	8281	8	-2
0	8288	7	-1
0	8294	6	-1
0	8298	4	-2
0	8301	3	-1
0	8302	1	-2
0	8302	0	-1
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
0	8302	0	0
